iter	Passed	Remaining
635	3368	1927
636	3372	1921
637	3377	1916
638	3381	1910
639	3385	1904
640	3390	1898
641	3394	1892
642	3399	1887
643	3403	1881
644	3407	1875
645	3412	1870
646	3417	1864
647	3422	1858
648	3426	1853
649	3430	1847
650	3434	1841
651	3439	1836
652	3445	1830
653	3449	1824
654	3454	1819
655	3458	1813
656	3462	1807
657	3467	1802
658	3472	1796
659	3476	1790
660	3480	1785
661	3485	1779
662	3489	1773
663	3495	1768
664	3499	1762
665	3503	1757
666	3508	1751
667	3513	1746
668	3517	1740
669	3521	1734
670	3525	1728
671	3530	1723
672	3534	1717
673	3538	1711
674	3543	1706
675	3547	1700
676	3551	1694
677	3556	1689
678	3560	1683
679	3564	1677
680	3568	1671
681	3573	1666
682	3577	1660
683	3582	1654
684	3585	1649
685	3591	1643
686	3596	1638
687	3601	1633
688	3605	1627
689	3609	1621
690	3613	1615
691	3618	1610
692	3622	1604
693	3626	1598
694	3631	1593
695	3635	1588
696	3639	1582
697	3644	1576
698	3649	1571
699	3654	1566
700	3659	1560
701	3664	1555
702	3669	1550
703	3674	1544
704	3680	1540
705	3685	1534
706	3689	1529
707	3694	1523
708	3699	1518
709	3703	1512
710	3707	1507
711	3712	1501
712	3716	1495
713	3721	1490
714	3725	1484
715	3729	1479
716	3734	1473
717	3738	1468
718	3742	1462
719	3746	1457
720	3750	1451
721	3755	1446
722	3760	1440
723	3764	1435
724	3769	1429
725	3774	1424
726	3778	1418
727	3783	1413
728	3787	1408
729	3791	1402
730	3797	1397
731	3801	1391
732	3805	1386
733	3809	1380
734	3814	1375
735	3818	1369
736	3823	1364
737	3827	1358
738	3832	1353
739	3836	1347
740	3840	1342
741	3845	1337
742	3850	1331
743	3854	1326
744	3859	1321
745	3864	1315
746	3868	1310
747	3872	1304
748	3877	1299
749	3880	1293
750	3885	1288
751	3890	1283
752	3895	1277
753	3900	1272
754	3904	1267
755	3908	1261
756	3913	1256
757	3918	1251
758	3922	1245
759	3927	1240
760	3932	1235
761	3936	1229
762	3941	1224
763	3946	1219
764	3950	1213
765	3955	1208
766	3960	1203
767	3964	1197
768	3969	1192
769	3973	1187
770	3979	1181
771	3983	1176
772	3989	1171
773	3994	1166
774	3999	1161
775	4004	1155
776	4008	1150
777	4013	1145
778	4017	1139
779	4022	1134
780	4027	1129
781	4031	1123
782	4035	1118
783	4039	1113
784	4044	1107
785	4048	1102
786	4052	1096
787	4057	1091
788	4061	1086
789	4065	1080
790	4070	1075
791	4075	1070
792	4079	1064
793	4083	1059
794	4088	1054
795	4092	1048
796	4097	1043
797	4101	1038
798	4105	1032
799	4110	1027
800	4115	1022
801	4119	1017
802	4123	1011
803	4127	1006
804	4134	1001
805	4140	996
806	4146	991
807	4151	986
808	4156	981
809	4161	976
810	4175	973
811	4181	968
812	4187	963
813	4192	958
814	4198	952
815	4203	947
816	4209	942
817	4215	937
818	4221	932
819	4225	927
820	4231	922
821	4237	917
822	4242	912
823	4247	907
824	4251	901
825	4256	896
826	4261	891
827	4266	886
828	4271	881
829	4276	875
830	4281	870
831	4285	865
832	4290	860
833	4296	855
834	4300	849
835	4306	844
836	4311	839
837	4315	834
838	4319	828
839	4325	823
840	4330	818
841	4334	813
842	4339	808
843	4344	803
844	4348	797
845	4353	792
846	4360	787
847	4366	782
848	4369	777
849	4374	771
850	4378	766
851	4382	761
852	4387	756
853	4392	750
854	4396	745
855	4401	740
856	4406	735
857	4411	730
858	4415	724
859	4419	719
860	4423	714
861	4428	709
862	4432	703
863	4436	698
864	4441	693
865	4445	687
866	4449	682
867	4454	677
868	4458	672
869	4462	666
870	4466	661
871	4471	656
872	4477	651
873	4481	646
874	4485	640
875	4490	635
876	4494	630
877	4498	625
878	4503	619
879	4507	614
880	4512	609
881	4517	604
882	4520	599
883	4525	593
884	4530	588
885	4533	583
886	4538	578
887	4542	572
888	4546	567
889	4551	562
890	4555	557
891	4560	552
892	4573	548
893	4578	542
894	4581	537
895	4586	532
896	4591	527
897	4595	521
898	4599	516
899	4604	511
900	4608	506
901	4613	501
902	4618	496
903	4621	490
904	4626	485
905	4631	480
906	4636	475
907	4642	470
908	4646	465
909	4650	459
910	4655	454
911	4659	449
912	4663	444
913	4668	439
914	4672	434
915	4676	428
916	4681	423
917	4685	418
918	4689	413
919	4694	408
920	4698	402
921	4702	397
922	4707	392
923	4711	387
924	4717	382
925	4722	377
926	4726	372
927	4731	367
928	4736	361
929	4740	356
930	4744	351
931	4749	346
932	4753	341
933	4758	336
934	4762	331
935	4766	325
936	4771	320
937	4775	315
938	4779	310
939	4784	305
940	4788	300
941	4792	295
942	4797	290
943	4801	284
944	4806	279
945	4810	274
946	4815	269
947	4820	264
948	4824	259
949	4828	254
950	4833	249
951	4837	243
952	4841	238
953	4846	233
954	4850	228
955	4854	223
956	4859	218
957	4863	213
958	4868	208
959	4873	203
960	4877	197
961	4882	192
962	4887	187
963	4891	182
964	4895	177
965	4900	172
966	4904	167
967	4908	162
968	4913	157
969	4917	152
970	4922	147
971	4927	141
972	4931	136
973	4936	131
974	4940	126
975	4944	121
976	4949	116
977	4953	111
978	4957	106
979	4962	101
980	4966	96
981	4971	91
982	4975	86
983	4979	80
984	4984	75
985	4988	70
986	4992	65
987	4997	60
988	5001	55
989	5005	50
990	5010	45
991	5014	40
992	5019	35
993	5024	30
994	5029	25
995	5033	20
996	5037	15
997	5042	10
998	5046	5
999	5051	0
