iter	Logloss
0	0.6846451831
1	0.6756651084
2	0.6676023359
3	0.6591768286
4	0.6505208598
5	0.6433710263
6	0.635792467
7	0.627947347
8	0.6213881165
9	0.6133293623
10	0.6063767495
11	0.6008294275
12	0.5947825901
13	0.5886206289
14	0.5813937376
15	0.5759247988
16	0.5705580139
17	0.5639041743
18	0.5580926045
19	0.5518421049
20	0.5464095507
21	0.5421674722
22	0.5369621011
23	0.5321793344
24	0.5275327778
25	0.5237600271
26	0.5187923174
27	0.5144841896
28	0.5088077622
29	0.5037547096
30	0.4996361777
31	0.4957407911
32	0.4921428913
33	0.4881182296
34	0.483917128
35	0.4798594588
36	0.4762146672
37	0.4730069816
38	0.4696947136
39	0.4662865493
40	0.4628737697
41	0.459395262
42	0.4550857377
43	0.4526778966
44	0.4497096932
45	0.4475034971
46	0.4441725668
47	0.4402226534
48	0.437396982
49	0.4347453483
50	0.4319882824
51	0.4292101785
52	0.4266351983
53	0.4240024888
54	0.4216810953
55	0.4182984084
56	0.4153446522
57	0.4129624498
58	0.4108129659
59	0.4087970731
60	0.4063923149
61	0.4037971869
62	0.4014348281
63	0.3987753282
64	0.3960594978
65	0.3935293421
66	0.3911651632
67	0.3892407918
68	0.3875592394
69	0.3851562825
70	0.3826833334
71	0.3807759217
72	0.3785108837
73	0.3763888643
74	0.3738865329
75	0.3719095539
76	0.3694941549
77	0.3672178172
78	0.3653355917
79	0.3635511596
80	0.3616304003
81	0.3601739009
82	0.3588248198
83	0.3568979239
84	0.3552005877
85	0.3528663555
86	0.3507996217
87	0.3485656681
88	0.346432528
89	0.3439987493
90	0.3424464141
91	0.3409011705
92	0.3388573853
93	0.3366863785
94	0.3349937107
95	0.3326659567
96	0.3312663386
97	0.3301576234
98	0.3284526822
99	0.3269037705
100	0.3250965705
101	0.3233107691
102	0.321216193
103	0.3195343484
104	0.318244617
105	0.3168892257
106	0.315593673
107	0.3144886608
108	0.3128624829
109	0.3114072044
110	0.3101799771
111	0.3086800291
112	0.3071396845
113	0.3054457573
114	0.3039223238
115	0.302491627
116	0.3008085551
117	0.2998007254
118	0.2984970855
119	0.296791146
120	0.2953846179
121	0.2944227478
122	0.2933406055
123	0.2922238629
124	0.2906427164
125	0.2897415573
126	0.2883564322
127	0.2870898207
128	0.2858163431
129	0.2846294791
130	0.2834906019
131	0.2820760148
132	0.281236013
133	0.2798327907
134	0.2784406271
135	0.2771823695
136	0.275922964
137	0.2744973481
138	0.2733213719
139	0.2724534028
140	0.2717290185
141	0.2705703551
142	0.2691471235
143	0.26818565
144	0.2673523194
145	0.2664418515
146	0.2653551916
147	0.264615633
148	0.2637995366
149	0.2629696243
150	0.2616372513
151	0.2606903905
152	0.2598354353
153	0.2586041694
154	0.2576406705
155	0.2568814397
156	0.2558424386
157	0.2548279403
158	0.25422881
159	0.2532612585
160	0.2521050528
161	0.2512908478
162	0.2502328496
163	0.2492511867
164	0.2485212534
165	0.2475877223
166	0.2466840875
167	0.2459037816
168	0.2453333759
169	0.2445305517
170	0.2436790511
171	0.2427959224
172	0.2417998991
173	0.2407587359
174	0.2401882626
175	0.2395077947
176	0.2384485622
177	0.2377247466
178	0.2368873759
179	0.2359763401
180	0.2353465688
181	0.2347364497
182	0.234136868
183	0.2333033456
184	0.2326745462
185	0.2320128778
186	0.2312528993
187	0.2306172752
188	0.2301784517
189	0.2293244623
190	0.2284020093
191	0.2277129792
192	0.2270046676
193	0.2264080848
194	0.2258648032
195	0.225113508
196	0.22429522
197	0.2234632841
198	0.2229063386
199	0.2222393962
200	0.2215484875
201	0.220782095
202	0.2200015481
203	0.2193046535
204	0.2185769452
205	0.2179653076
206	0.2172232692
207	0.2167084254
208	0.2161909188
209	0.2156554291
210	0.2149347082
211	0.2144320752
212	0.2138004765
213	0.2133451686
214	0.2125181288
215	0.2120548197
216	0.2113747023
217	0.2107320867
218	0.209946336
219	0.2093846196
220	0.2086804551
221	0.2080812439
222	0.207325849
223	0.2069466861
224	0.2063688969
225	0.2057601354
226	0.2053091243
227	0.2048873873
228	0.2043920543
229	0.2040456869
230	0.2033091487
231	0.202767513
232	0.2021852216
233	0.2016734828
234	0.2011870964
235	0.2005527317
236	0.2000627377
237	0.1991837418
238	0.1985463514
239	0.1979498272
240	0.197450874
241	0.1969475133
242	0.1964313489
243	0.1956589486
244	0.1952099473
245	0.1946598276
246	0.1940668542
247	0.1934092864
248	0.1929825259
249	0.1926620667
250	0.1918555015
251	0.1914060895
252	0.1910966603
253	0.1906774926
254	0.1900642255
255	0.1897801782
256	0.1892778987
257	0.1889236932
258	0.1884549072
259	0.1877658118
260	0.1871528599
261	0.1866892911
262	0.1862072539
263	0.1857244551
264	0.1852991802
265	0.1849140963
266	0.1845584303
267	0.1840039523
268	0.1835361631
269	0.1829306645
270	0.1826262912
271	0.1822593758
272	0.1818620516
273	0.1814481349
274	0.1811152971
275	0.1805662375
276	0.1802022423
277	0.1794241759
278	0.1791275872
